
İlaç Adı,Barkod,ATC Kodu,ATC Adı
"RESTAD 0,5 MG YUMUSAK KAPSUL (30 KAPSUL)",8680199196511,G04CB02,dutasteride
"AKLAV BID 200 MG/28,5 MG PEDIATRIK SUSPANSIYON HAZIRLAMAK ICIN KURU TOZ",8699591280032,J01CR02,amoxicillin and beta-lactamase inhibitor
CEFORIST 250 MG /5 ML ORAL SUSPANSIYON HAZIRLAMAK ICIN TOZ (100 ML),8699591280025,J01DD15,cefdinir
IMATRA 400 MG FILM KAPLI TABLET (30 TABLET),8680885509311,L01EA01,imatinib
COSIMPREL 10 MG/5 MG FILM KAPLI TABLET (30 TABLET),8699552091035,C09BX02,perindopril and bisoprolol
COSIMPREL 10 MG/10 MG FILM KAPLI TABLET (30 TABLET),8699552091042,C09BX02,perindopril and bisoprolol
DESITU 50 MG INFUZYONLUK COZELTI HAZIRLAMADA KULLANILACAK KONSANTRE ICIN TOZ,8699650772744,L01BC08,decitabine
GLATRO 40 MG/ML ENJEKSIYONLUK COZELTI ICEREN KULLANIMA HAZIR ENJEKTOR (12 ADET),8680199001518,L03AX13,glatiramer acetate
BYRETU 250 MG TABLET (120 TABLET),8699650012260,L02BX03,abiraterone
CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (CANIS) (1 FLAKON),8683190185454,V01AA,Allergen extracts
CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (CUPRESSUS),8683190185461,V01AA,Allergen extracts
ROXSIT 1000 TSU/ML ENJEKSIYONLUK SUSPANSIYON (CIMENLER),8683190185492,V01AA,Allergen extracts
"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (AKARLAR)",8683190185430,V01AA,Allergen extracts
"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (ALTERNARIA)",8683190185348,V01AA,Allergen extracts
"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (CIMENLER)",8683190185447,V01AA,Allergen extracts
"SANELOC 50 MG DEGISTIRILMIS SALIMLI FILM KAPLI TABLET
(20 TABLET)",8681428031948,C07AB02,metoprolol
LYSOBACT 20 MG/10 MG PASTIL,8699514110002,R02AA,Antiseptics
VENORUTON FORTE 500 MG TABLET (60 ADET),8680976003292,C05CA54,"troxerutin, combinations"
EXTENDA 60 MG FILM TABLET (3 TABLET),8699514093886,G04BX14,dapoxetine
SIMGAST 680 MG/80 MG/25 MG CIGNEME TABLETI (12 TABLET),8680760080256,A02AX,"Antacids, other combinations"
TOINEX 250 MG/5 ML ENJEKSIYONLUK COZELTI (5 AMPUL),8680222750451,N03AB02,phenytoin
CARNISEL 1G/5 ML IV ENJEKSIYONLUK/INFUZYONLUK COZELTI (5 AMPUL),8680400772121,A16AA01,levocarnitine
SPRYTINIB 20 MG FILM KAPLI TABLET (30 TABLET),8699769090142,L01EA02,dasatinib
NOOTROVER 1G/5 ML INFUZYONLUK COZELTI ICEREN 12 AMPUL,8680400770370,N06BX03,piracetam
CEFORIST 125 MG/5 ML ORAL SUSPANSIYON HAZIRLAMAK ICIN TOZ (100 ML),8699591280018,J01DD15,cefdinir
EXTENDA 30 MG 3 FILM KAPLI TABLET,8699514093855,G04BX14,dapoxetine
MENOPUR 600 IU MULTI DOZ ICIN SC ENJEKSIYONLUK COZELTI TOZU ICEREN FLAKON VE KULLANIMA HAZIR ENJEKTORDE COZUCU (1 ADET FLAKON + 1 ADET KULLANIMA HAZIR ENJEKTOR),8697621790476,G03GA02,human menopausal gonadotrophin
MENOPUR 1200 IU MULTI DOZ ICIN SC ENJEKSIYONLUK COZELTI TOZU ICEREN FLAKON VE KULLANIMA HAZIR ENJEKTORDE COZUCU (1 ADET FLAKON + 2 ADET KULLANIMA HAZIR ENJEKTOR),8697621790483,G03GA02,human menopausal gonadotrophin
"LAXENO DIET 1,5 MG/ML ORAL COZELTI (250 MLX1 SISE)",8680400770967,A06AB06,senna glycosides
"LAXENO 1,5 MG/ML ORAL COZELTI (250 ML X 1 SISE)",8680400770950,A06AB06,senna glycosides
ZINCLOMIN 15 MG/5 ML 100 ML SURUP,8699690570072,A12CB01,zinc sulfate
"BD AUTOSHIELD™ DUO 0,30 MM (30G) X 5MM - CIFT YONLU OTOMATIK KORUMA SAGLAYAN GUVENLIKLI KALEM IGNESI",382903295357,V07AY,Other non-therapeutic auxiliary products
"BD KALEM IGNESI 0,23MM (32G) x 4MM",382903208241,V07AY,Other non-therapeutic auxiliary products
"BD KALEM IGNESI 0,25MM (31G) x 5MM",382903209385,V07AY,Other non-therapeutic auxiliary products
"BD KALEM IGNESI 0,25MM (31G) x 6MM",382903208258,V07AY,Other non-therapeutic auxiliary products
"BD KALEM IGNESI 0,25MM (31G) x 8MM",382903209408,V07AY,Other non-therapeutic auxiliary products
BD MICRO-FINE PLUS U-100 INSULIN 0.5ML 0.25MM (31G) x 6MM,382904904012,V07AY,Other non-therapeutic auxiliary products
BD MICRO-FINE PLUS U-100 INSULIN 1ML 0.25MM (31G) x 6MM,382904905019,V07AY,Other non-therapeutic auxiliary products
"BD MICRO-FINE™ PLUS 4MM KALEM IGNESI PENTAPOINT 0,23MM (32G) X 4MM",382903204977,V07AY,Other non-therapeutic auxiliary products
"BD MICRO-FINE™ PLUS 5MM KALEM IGNESI PENTAPOINT 0,25MM (31G) X 5MM",382903204984,V07AY,Other non-therapeutic auxiliary products
"BD MICRO-FINE™ PLUS 6MM KALEM IGNESI 0,25MM (31G) X 6MM",382903207367,V07AY,Other non-therapeutic auxiliary products
"BD MICRO-FINE™ PLUS 8MM KALEM IGNESI PENTAPOINT 0,25MM (31G) X 8MM",382903204991,V07AY,Other non-therapeutic auxiliary products
